Identifier,N_kw = 5,N_kw = 10,N_kw = 15
3351,4174,2619,#N/A
3352,1309,1313,#N/A
3358,782,1524,#N/A
3367,1747,1250,#N/A
3369,#N/A,#N/A,#N/A
3371,#N/A,#N/A,#N/A
3377,3215,110,31
3387,#N/A,#N/A,#N/A
3389,4375,#N/A,#N/A
3395,#N/A,#N/A,#N/A
3422,#N/A,#N/A,#N/A
3423,#N/A,#N/A,#N/A
3426,226,495,#N/A
3429,1355,#N/A,#N/A
3443,560,650,#N/A
3444,4078,#N/A,#N/A
3459,4337,#N/A,#N/A
3464,#N/A,645,1202
3472,#N/A,#N/A,#N/A
3480,#N/A,2489,#N/A
3489,#N/A,3281,#N/A
3501,#N/A,#N/A,#N/A
3513,989,2254,446
3519,2452,#N/A,#N/A
3522,#N/A,#N/A,880
3525,#N/A,#N/A,#N/A
3526,1860,135,#N/A
3549,3271,#N/A,#N/A
3553,#N/A,#N/A,#N/A
3556,#N/A,#N/A,#N/A
3559,840,1528,912
3560,#N/A,#N/A,#N/A
3567,#N/A,#N/A,#N/A
3569,#N/A,#N/A,#N/A
3580,#N/A,#N/A,#N/A
3583,#N/A,613,1588
3589,#N/A,#N/A,627
3597,#N/A,#N/A,#N/A
3601,#N/A,#N/A,#N/A
3608,937,1040,#N/A
3625,#N/A,#N/A,#N/A
3629,638,384,#N/A
3633,2976,#N/A,1435
3639,#N/A,#N/A,#N/A
3640,#N/A,#N/A,#N/A
3650,#N/A,2540,#N/A
3652,#N/A,#N/A,#N/A
3658,1721,3488,#N/A
3662,2116,2416,#N/A
3665,3134,1305,#N/A
3674,#N/A,#N/A,#N/A
3676,#N/A,1481,#N/A
3679,3171,#N/A,#N/A
3689,2393,#N/A,1504
3692,1943,#N/A,914
3693,#N/A,#N/A,#N/A
3697,882,320,519
3704,#N/A,#N/A,#N/A
3715,#N/A,#N/A,#N/A
3720,844,#N/A,#N/A
3722,#N/A,#N/A,#N/A
3733,867,#N/A,#N/A
3740,236,1181,779
3747,3944,2987,#N/A
3752,#N/A,#N/A,#N/A
3754,#N/A,#N/A,#N/A
3762,1502,1150,427
3768,#N/A,#N/A,#N/A
3776,2721,324,103
3777,#N/A,#N/A,#N/A
3789,1430,#N/A,#N/A
3793,313,1025,#N/A
3802,1204,2521,#N/A
3803,4696,464,#N/A
3808,3630,#N/A,1419
3816,#N/A,#N/A,#N/A
3817,935,2617,#N/A
3827,266,2317,#N/A
3829,3400,#N/A,#N/A
3838,1567,#N/A,#N/A
3840,911,#N/A,#N/A
3841,#N/A,#N/A,#N/A
3846,476,600,#N/A
3847,3376,#N/A,#N/A
3849,#N/A,2717,#N/A
3851,#N/A,#N/A,#N/A
3854,#N/A,#N/A,#N/A
3858,#N/A,#N/A,#N/A
3860,#N/A,#N/A,#N/A
3869,2059,#N/A,#N/A
3871,3952,#N/A,#N/A
3876,488,2523,#N/A
3879,#N/A,#N/A,#N/A
3883,1629,#N/A,#N/A
3890,3531,2249,#N/A
3893,2927,#N/A,#N/A
3896,#N/A,#N/A,#N/A
3903,#N/A,#N/A,#N/A
3904,2880,1882,#N/A
3907,#N/A,#N/A,#N/A
3914,#N/A,#N/A,#N/A
3921,2029,#N/A,#N/A
3923,#N/A,#N/A,#N/A
3924,2060,319,632
3929,#N/A,#N/A,#N/A
3937,#N/A,#N/A,#N/A
3944,4655,#N/A,#N/A
3955,#N/A,1609,#N/A
3959,#N/A,#N/A,#N/A
3960,2704,#N/A,#N/A
3967,#N/A,#N/A,#N/A
3968,#N/A,#N/A,#N/A
3970,#N/A,#N/A,#N/A
3971,#N/A,#N/A,#N/A
3977,#N/A,#N/A,1507
3979,3809,#N/A,270
3981,184,2006,#N/A
3982,#N/A,#N/A,#N/A
3983,#N/A,#N/A,#N/A
3988,#N/A,#N/A,#N/A
3989,2133,#N/A,1573
3991,4663,#N/A,#N/A
4002,699,573,1353
4008,2577,#N/A,#N/A
4016,#N/A,#N/A,#N/A
4026,1901,121,312
4038,1508,274,7
4041,4562,#N/A,#N/A
4042,#N/A,3390,#N/A
4047,#N/A,#N/A,#N/A
4052,3525,#N/A,#N/A
4055,1085,1673,#N/A
4060,#N/A,#N/A,#N/A
4067,#N/A,#N/A,#N/A
4071,#N/A,#N/A,#N/A
4082,#N/A,2021,#N/A
4088,4062,749,#N/A
4090,#N/A,#N/A,#N/A
4094,#N/A,1436,#N/A
4098,#N/A,1710,#N/A
4104,4021,1433,#N/A
4107,#N/A,#N/A,#N/A
4110,#N/A,#N/A,#N/A
4126,#N/A,#N/A,#N/A
4139,#N/A,#N/A,#N/A
4142,2338,#N/A,#N/A
4152,#N/A,#N/A,#N/A
4154,#N/A,#N/A,#N/A
4156,#N/A,#N/A,#N/A
4159,3695,#N/A,#N/A
4161,2527,#N/A,#N/A
4174,#N/A,#N/A,#N/A
4181,#N/A,#N/A,#N/A
4184,3131,#N/A,#N/A
4191,#N/A,#N/A,#N/A
4193,420,403,542
4198,4437,#N/A,#N/A
4204,2365,#N/A,#N/A
4211,#N/A,#N/A,#N/A
4212,2082,#N/A,#N/A
4215,#N/A,#N/A,#N/A
4221,4151,#N/A,#N/A
4228,841,528,#N/A
4231,2286,#N/A,#N/A
4247,1810,1506,704
4250,2458,#N/A,#N/A
4251,1561,#N/A,#N/A
4266,#N/A,#N/A,#N/A
4287,1939,1660,1278
4318,1963,#N/A,#N/A
4327,4277,#N/A,#N/A
4328,#N/A,#N/A,#N/A
4329,803,3374,#N/A
4335,2312,#N/A,#N/A
4337,#N/A,2545,#N/A
4339,#N/A,2375,344
4340,3918,#N/A,#N/A
4342,#N/A,#N/A,#N/A
4350,#N/A,#N/A,#N/A
4355,4256,1603,#N/A
4360,104,361,#N/A
4361,3874,1928,#N/A
4369,1442,750,#N/A
4381,1456,#N/A,#N/A
4387,797,1215,#N/A
4409,#N/A,#N/A,#N/A
4413,#N/A,#N/A,#N/A
4414,#N/A,#N/A,#N/A
4433,4418,2564,#N/A
4434,2454,#N/A,#N/A
4436,3285,#N/A,#N/A
4441,2649,#N/A,#N/A
4453,#N/A,#N/A,#N/A
4454,#N/A,#N/A,563
4455,1328,56,93
4458,#N/A,#N/A,#N/A
4462,#N/A,#N/A,#N/A
4464,#N/A,2972,#N/A
4467,1106,1026,#N/A
4468,669,1614,#N/A
4469,1459,424,#N/A
4472,3196,1437,#N/A
4473,2839,3364,#N/A
4477,#N/A,#N/A,#N/A
4479,968,3266,#N/A
4480,#N/A,2023,1452
4487,2816,#N/A,#N/A
4494,#N/A,1874,#N/A
4495,#N/A,#N/A,#N/A
4498,428,1961,1016
4507,4717,#N/A,#N/A
4512,#N/A,#N/A,#N/A
4516,3199,#N/A,#N/A
4517,4591,#N/A,#N/A
4520,#N/A,2187,#N/A
4526,#N/A,#N/A,#N/A
4533,#N/A,#N/A,#N/A
4541,#N/A,#N/A,#N/A
4544,#N/A,#N/A,#N/A
4565,2218,#N/A,#N/A
4571,1722,3321,#N/A
4572,#N/A,1221,842
4573,1121,337,1581
4574,4444,2742,876
4576,#N/A,#N/A,#N/A
4581,2247,#N/A,#N/A
4582,#N/A,3256,#N/A
4591,3055,2457,#N/A
4593,#N/A,#N/A,#N/A
4596,3416,1664,1420
4597,#N/A,#N/A,#N/A
4598,2882,#N/A,#N/A
4600,#N/A,#N/A,#N/A
4601,714,1142,1415
4603,2510,#N/A,#N/A
4615,#N/A,2479,#N/A
4617,#N/A,3280,#N/A
4621,4606,#N/A,#N/A
4622,#N/A,441,1483
4631,#N/A,#N/A,#N/A
4643,#N/A,#N/A,#N/A
4644,3364,#N/A,#N/A
