doc_id,ranking,BM25 score
1362,1352.0,6.9117146
1368,2213.0,5.311291
1382,,
1389,3884.0,3.533371
1393,,
1397,,
1416,2563.0,4.735497
1435,,
1442,3220.0,4.0430975
1457,974.0,7.8178844
1462,,
1464,1406.0,6.788628
1466,,
1477,,
1481,,
1488,4726.0,2.7212677
1492,,
1494,,
1495,2197.0,5.3425627
1500,1875.0,5.87906
1502,2660.0,4.595782
1504,1310.0,6.9919443
1506,2005.0,5.679396
1509,1770.0,6.094494
1510,525.0,9.168683
1512,,
1513,1713.0,6.1960588
1526,,
1534,,
1537,,
1548,3794.0,3.6005867
1553,,
1555,293.0,10.569154
1565,,
1572,,
1577,,
1595,,
1613,,
1614,1144.0,7.398441
1618,,
1621,,
1623,,
1624,,
1627,2484.0,4.867028
1631,,
1634,,
1636,187.0,11.988488
1638,972.0,7.826372
1645,,
1662,3803.0,3.5907784
1665,116.0,13.359595
1681,1082.0,7.5610085
1683,1356.0,6.909319
1688,4201.0,3.2774875
1695,531.0,9.121239
1698,,
1705,,
1709,2172.0,5.3846393
1718,109.0,13.558797
1724,4033.0,3.416183
1727,,
1728,,
1738,2050.0,5.5813437
1752,,
1758,3403.0,3.8978693
1764,21.0,18.093996
1783,1865.0,5.9012322
1785,,
1796,,
1801,3317.0,3.9675097
1802,250.0,10.998693
1804,,
1810,2529.0,4.7790756
1830,1221.0,7.2018175
1832,340.0,10.197326
1833,917.0,7.964102
1840,,
1844,3399.0,3.9002705
1848,,
1854,4330.0,3.183173
1858,2475.0,4.886769
1861,2611.0,4.661514
1866,3006.0,4.2276764
1872,,
1873,3391.0,3.9106724
1875,,
1877,,
1879,,
1884,918.0,7.963813
1894,99.0,13.720297
1910,,
1929,,
1932,,
1933,836.0,8.196277
1936,4902.0,2.3388968
1937,,
1948,4863.0,2.4366534
1951,,
1954,3906.0,3.514306
1957,322.0,10.354823
1959,,
1970,,
1971,,
1972,,
1973,,
1974,4847.0,2.4834917
1978,4532.0,2.9915025
2000,,
2014,,
2015,4864.0,2.4277022
2021,190.0,11.981147
2031,,
2034,2127.0,5.4705577
2045,,
2051,,
2055,,
2060,4186.0,3.2915661
2086,,
2091,,
2095,1468.0,6.68157
2101,,
2102,68.0,14.639189
2104,55.0,15.406669
2105,3577.0,3.7666864
2116,4767.0,2.6364474
2138,3554.0,3.7864544
2165,,
2167,898.0,8.017951
2169,66.0,14.6538725
2170,1118.0,7.479512
2175,,
2181,,
2187,,
2191,3199.0,4.062409
2201,3072.0,4.158952
2202,4535.0,2.9850407
2204,1687.0,6.2513094
2211,,
2219,,
2220,3546.0,3.7906506
2226,,
2230,,
2231,2450.0,4.9246345
2236,,
2237,,
2243,3053.0,4.1773825
2250,,
2260,4892.0,2.3649125
2269,,
2272,80.0,14.229789
2280,,
2287,,
2296,,
2298,1042.0,7.6711893
2299,,
2304,,
2310,,
2316,,
2331,,
2337,,
2338,,
2342,1400.0,6.806985
2346,,
2347,2325.0,5.1278076
2349,,
2359,3.0,29.183979
2360,,
2362,,
2365,1790.0,6.057949
2366,,
2368,2173.0,5.380231
2384,,
2385,1535.0,6.527072
2389,,
2399,,
2404,86.0,14.014883
2414,,
2415,,
2420,,
2437,,
2439,2111.0,5.500002
2440,1486.0,6.648959
2454,2040.0,5.6045933
2459,2579.0,4.716307
2464,435.0,9.658333
2467,,
2471,,
2474,,
2482,,
2490,,
2491,,
2492,,
2501,,
2502,,
2505,,
2511,,
2512,1568.0,6.460213
2514,,
2523,,
2524,,
2525,,
2528,,
2532,1969.0,5.733089
2533,2408.0,4.976887
2535,,
2536,,
2540,,
2541,4228.0,3.26204
2542,,
2551,,
2555,,
2556,,
2557,,
2568,,
2569,,
2578,954.0,7.8791003
2580,,
2584,,
2593,666.0,8.642616
2594,,
2595,4591.0,2.9261353
2599,,
2600,,
2607,5005.0,2.1566546
2609,,
2613,,
2614,,
2617,,
2621,,
2635,4490.0,3.028102
2637,2401.0,4.995268
2640,716.0,8.487988
2647,,
2648,1821.0,5.9975333
2649,,
2653,,
2657,3661.0,3.7049963
2664,3465.0,3.8507128
2669,4909.0,2.3044236
2670,4091.0,3.36887
2671,1303.0,7.0081925
2680,,
2686,,
2688,,
2692,4793.0,2.6008973
2698,,
2703,,
2706,,
2710,,
2723,,
2734,,
2735,,
2743,,
2744,3645.0,3.7163641
2747,1607.0,6.3945875
2751,,
2754,660.0,8.665562
2756,,
2757,,
2760,,
2767,,
2788,,
2795,3371.0,3.926918
2800,2115.0,5.4977713
2804,,
2805,,
2807,,
2811,2329.0,5.1189065
2817,,
2818,2446.0,4.9262285
2825,,
2826,1991.0,5.7004538
2827,,
2830,684.0,8.580034
2835,,
2842,,
2864,,
