Identifier,N_kw = 5,N_kw = 10,N_kw = 15
3026,#N/A,#N/A,#N/A
3029,#N/A,#N/A,#N/A
3037,1618,2577,#N/A
3038,#N/A,#N/A,#N/A
3044,#N/A,#N/A,#N/A
3048,185,3401,#N/A
3050,#N/A,2279,#N/A
3058,4543,#N/A,#N/A
3063,#N/A,#N/A,#N/A
3078,3525,3056,1529
3080,#N/A,#N/A,#N/A
3084,#N/A,851,#N/A
3086,190,46,#N/A
3090,3570,#N/A,#N/A
3096,#N/A,#N/A,#N/A
3100,464,2015,#N/A
3108,35,1327,#N/A
3111,4148,#N/A,#N/A
3113,4050,2698,#N/A
3123,#N/A,#N/A,#N/A
3125,#N/A,#N/A,#N/A
3127,1007,2186,#N/A
3128,#N/A,#N/A,#N/A
3131,#N/A,#N/A,#N/A
3135,3111,#N/A,#N/A
3139,#N/A,#N/A,#N/A
3143,#N/A,#N/A,#N/A
3146,#N/A,2986,424
3150,#N/A,3262,#N/A
3153,2722,#N/A,#N/A
3154,3369,#N/A,#N/A
3156,536,204,214
3158,1004,2813,#N/A
3159,#N/A,#N/A,#N/A
3160,#N/A,#N/A,1065
3161,#N/A,2851,#N/A
3171,#N/A,#N/A,#N/A
3178,#N/A,#N/A,#N/A
3194,3706,#N/A,#N/A
3195,#N/A,3062,1234
3197,4627,#N/A,#N/A
3204,3518,#N/A,781
3206,#N/A,#N/A,#N/A
3209,#N/A,#N/A,#N/A
3220,#N/A,2196,#N/A
3222,#N/A,#N/A,#N/A
3228,515,#N/A,#N/A
3247,#N/A,2345,#N/A
3250,#N/A,1161,#N/A
3251,#N/A,#N/A,#N/A
3260,583,2089,#N/A
3261,1769,981,1069
3262,1900,2678,#N/A
3264,#N/A,#N/A,#N/A
3266,#N/A,#N/A,#N/A
3268,#N/A,#N/A,#N/A
3276,1975,#N/A,#N/A
3290,2020,#N/A,#N/A
3291,#N/A,#N/A,#N/A
3292,4181,1273,1366
3295,329,#N/A,#N/A
3296,#N/A,121,550
3300,1140,100,752
3306,#N/A,2228,#N/A
3312,#N/A,#N/A,1460
3313,3287,2453,#N/A
3314,#N/A,1482,#N/A
3322,#N/A,#N/A,#N/A
3327,#N/A,#N/A,#N/A
3329,604,#N/A,#N/A
3337,#N/A,1622,#N/A
3338,1681,3118,807
3340,1249,439,#N/A
3348,#N/A,#N/A,1334
3349,#N/A,2830,#N/A
3350,#N/A,#N/A,#N/A
3351,#N/A,#N/A,#N/A
3352,773,99,#N/A
3358,1211,#N/A,#N/A
3367,#N/A,1840,#N/A
3369,#N/A,2712,#N/A
3371,#N/A,#N/A,#N/A
3377,132,22,419
3387,#N/A,1684,#N/A
3389,3144,1098,#N/A
3395,#N/A,3052,#N/A
3422,#N/A,#N/A,#N/A
